Page ID,Page name,Disclaimer,Amount spent (INR),Number of ads in Library
3.03E+14,"Chief Electoral Officer, Gujarat","Chief Electoral Officer, Gujarat",460807,31
3.49E+14,Sadda Punjab,Digital Maniaz,457660,18
1.45E+14,Ravneet Singh Bittu,Ravneet Singh Bittu,455872,267
1.12E+14,Dr Botcha Jhansi Lakshmi,Dr Botcha Jhansi Lakshmi,455321,30
2.63E+14,Sitamarhi Lok Sabha - ????????,The Narrative Builders,450384,244
6.25E+14,Trivendra Singh Rawat,Trivendra Singh Rawat,448888,153
3.53E+14,Galla Madhavi,Galla Madhavi,447066,60
2.51E+14,Siwan Lok Sabha - ?????,The Narrative Builders,445543,259
3.10E+14,YSR Congress  Party - YSRCP,Jagane Kavali,445491,28
1.46E+14,Narayan Seva Sansthan,Narayan Seva Sansthan,443155,18
8.97E+14,InKhabar,InKhabar,441244,55
1.94E+14,Pulse Keralam,Blow Horn Media,439910,149
8.45E+14,IDream Telugu News,iDream Media,435921,208
1.61E+15,SILAII,SILAII,431754,32
1.12E+14,ChotaNews,ChotaNews,431202,815
1.01E+14,Bobby Bhai For Sambalpur,Bobby Bhai For Sambalpur,431014,772
2.60E+14,Valmiki Nagar Lok Sabha - ???????? ???,The Narrative Builders,430178,227
2.55E+14,BB Patil,Rastra,425210,292
2.07E+14,Agiaon Vidhan Sabha - ??????,The Narrative Builders,424582,209
1.10E+14,Yuvagalam,Yuvagalam,420556,17
4.39E+14,Basant Agrawal,Basant Agrawal,420432,139
2.70E+14,"??????? ??????? ????? - ??????? ????? ??????, ?????????? ????",Olio Global AdTech,419258,24
6.16E+14,Devineni Avinash,Devineni Avinash,415325,136
1.52E+15,CMO Chhattisgarh,Span Communications,407184,5
1.40E+14,Governance Matters India,Governance Matters India,407056,67
5.19E+14,Praveen Singh Aron,Praveen Singh Aron,405771,116
1.18E+14,??????????? ?????????,??????????? ?????????,405456,107
1.11E+14,Lokatantra Odia,Lokatantra Odia,401232,200
2.24E+14,BJP Arunachal Pradesh,BJP Arunachal Pradesh,400000,20
1.12E+14,Fiigs India,Lebhaari,398467,58
1.68E+15,Dr. Varaprasadarao Velagapalli,Aadhan Media Pvt Ltd,396568,32
2.83E+14,10 ??? ?????? ???,10SaalAnyayKaal,393505,881
1.48E+14,Mana Telangana,Brand Brood Pvt. Ltd,382992,53
2.00E+14,NaMo Nayakan - Narendra Modi Fans,Blow Horn Media,378133,116
2.63E+14,Dolly Sharma,Dolly Sharma,375712,179
2.70E+14,Harsimrat Kaur Badal,Harsimrat Kaur Badal,374714,153
1.11E+15,Mohan Lal Badoli,Mohan Lal,374126,1150
3.03E+14,Designbox Consulting,DZINE BOX CONSULTING SOLUTION,373526,30
2.71E+14,Nabin Chandbali,Mindbreakmedia,371224,421
4.30E+14,Satya Kumar Y,Satya Kumar Y,368778,243
20386543316,WWF-India,WWF-India,367698,60
4.82E+14,Sandeep Shelke - ????? ?????,Sandeep Shelke - ????? ?????,367613,256
2.03E+14,Bhanu Pratap Singh,Bhanu Pratap Singh,363055,230
